runtime,rating_G,rating_NR,rating_PG,rating_PG13,rating_R,rating_NC17,genre_action,genre_animation,genre_foreign,genre_classics,genre_comedy,genre_documentary,genre_drama,genre_horror,genre_family,genre_mystery,genre_romance,genre_fantasy,director_score,writer_score,actor_score,studio_score,in_theater,theater_spring,theater_summer,theater_fall,theater_winter,theater_year,is_wide
121,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,91.0,91.0,72.55,1,0,0,0,0,0,,
93,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,47.0,47.0,48.7,0,1,0,0,0,1,1999.0,1.0
71,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,38.0,38.0,37.1,1,1,0,1,0,0,2008.0,1.0
99,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,58.0,68.0,54.9,0,0,0,0,0,0,,
92,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,95.0,95.0,68.6,1,0,0,0,0,0,,
208,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,87.0,33.0,84.2,0,1,0,1,0,0,1956.0,1.0
115,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,55.5,86.0,61.75,0,1,1,0,0,0,1971.0,1.0
94,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,59.5,71.0,57.7,0,1,0,0,1,0,1993.0,1.0
87,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,58.0,25.0,25.0,1,1,0,0,0,1,2008.0,0.0
93,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,43.0,37.0,62.1,2,1,0,0,0,1,2006.0,1.0
80,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,80.0,80.0,82.4,1,0,0,0,0,0,,
106,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,78.0,78.0,55.0,2,1,0,0,1,0,2006.0,1.0
110,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,42.0,42.0,42.2,0,1,1,0,0,0,2018.0,0.0
